"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_misiones","vcr_misiones","compatibilidad_con_misiones","valor_estrategico_para_misiones","indice_recuperacion_de_posiciones_misiones","indice_oportunidades_cercanas_misiones","indice_objetivos_factibles_misiones","indice_apuestas_ambiciosas_misiones","top_20_criterios_misiones","empleo","empresas","tasa_fem"
"843039","Coal/rock cutters, not self-propelled","Las demas cortadoras, arrancadoras y maq. para hacer tuneles y galeria","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.13374","2654","Decreció / Decreció","4040586.07923","15035.77214","0.77526","0.26291","-0.92352","0","-0.01404","-0.11303","-0.37014","Trayectoria productiva","s.d.","s.d.","0.08398"
"845380","Machinery for leather, skin goods making","Las demas maquinas y aparatos para la fabricacion o reparacion de cuer","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.19129","2757","Creció / Se mantuvo","804785.54372","2380.95329","0.73707","-0.51483","0.34873","0","-0.30976","-0.23423","-0.04534","Trayectoria productiva","s.d.","s.d.","0.08919"
"847759","Rubber/plastic moulding/forming machines","Las demas maquinas y aparatos para moldear o formar cauchos.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.16265","580","Creció / Decreció","6923946.27322","22783.33333","0.69767","-0.89403","1.14098","0","-0.28136","0.02606","0.53589","Trayectoria productiva","86","6","0.11542"
"330113","Oils, lemon","Aceites esenciales, de limon.","Químicos"," VI Productos químicos y aliados","-0.50515","3202","Se mantuvo / Decreció","-173822870.34426","7200.00000","0.59987","1.29686","-0.32727","1","0.79183","0.53043","0.11550","Recuperación de posiciones, Trayectoria productiva","s.d.","s.d.","0.26468"
"441820","Wood doors, frames","Puertas y sus marcos y umbrales.","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-0.25342","2846","Creció / Decreció","20971087.46721","53982.00716","0.59652","1.65278","0.33919","1","1.19944","0.94314","0.58512","Recuperación de posiciones, Trayectoria productiva","84","10","0.12853"
"731511","Chain, roller, iron","Cadenas de rodillos, de fundicion, de hierro o de acero.","Metales"," XV Metales comunes y sus manufacturas","1.15845","586","Creció / Decreció","11893028.53825","40524.84389","0.83682","-1.29276","1.23546","1","-0.54199","-0.17046","0.45774","Recuperación de posiciones, Trayectoria productiva","0","0","0.11900"
"80540","Grapefruit","Toronjas o pomelos, frescos o secos.","Agricultura"," II Productos vegetales","-0.82505","3602","Creció / Creció","5245286.62568","5344.99951","0.23594","0.43844","0.23143","1","0.27069","0.13399","0.02942","Recuperación de posiciones","180","18","0.17684"
"90230","Tea, black, in <3kg packages","Te negro (fermentado) y té parcialmente fermentado, en envases con un","Agricultura"," II Productos vegetales","-1.62800","4383","Creció / Decreció","8926807.02459","893.69970","0.01920","1.43464","-1.08313","1","0.62482","0.19267","-0.46402","Recuperación de posiciones","7766","189","0.23891"
"110620","Flour, meal of starchy roots","Harina y semola de sagu o de las raices o tuberculos de la partida 07.","Agricultura"," II Productos vegetales","-2.17346","4601","Creció / Creció","807976.88251","0.00000","0.00000","1.44574","-1.55829","1","0.48301","-0.02911","-0.81088","Recuperación de posiciones","20","4","0.12697"
"151590","Vegetable fats, oils nes","Los demas aceites y grasas vegetales","Agricultura"," III Grasas y aceites animales o vegetales y sus derivados","-0.68047","3419","Creció mucho / Creció","-3075506.98907","0.00000","0.00000","1.64915","0.16550","1","1.11945","0.81231","0.39910","Recuperación de posiciones","s.d.","s.d.","0.15062"
"200960","Grape juice","Jugo (mosto) de uvas","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.52766","3231","Decreció / Decreció","-99910284.86339","538.55154","0.02772","1.06168","-0.40686","1","0.60904","0.37668","0.00350","Recuperación de posiciones","21","6","0.26995"
"330112","Oils, orange","Aceites esenciales, de naranja.","Químicos"," VI Productos químicos y aliados","-0.67222","3407","Creció / Creció","-465925.03825","0.00000","0.00000","1.89544","-0.80348","1","1.09889","0.70718","0.03901","Recuperación de posiciones","s.d.","s.d.","0.26468"
"440820","Ply sheet, tropical, <6mm","Hojas de capas, tropical, <6 mm","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-2.11325","4583","Decreció mucho / Decreció mucho","325165.43443","0.00000","0.00000","-0.40627","-1.67864","1","-0.83144","-1.06576","-1.40558","Recuperación de posiciones","724","19","0.09455"
"440920","Shaped non-coniferous wood","Maderas perfiladas longitudinalmente de no coniferas","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-1.03495","3860","Decreció / Decreció","12079218.42623","27520.39393","0.42978","2.13253","-0.58334","1","1.27261","0.82007","0.11852","Recuperación de posiciones","5556","325","0.04618"
"441129","Worked fibreboard, 0.5-0.8 g/mc2","Los demas tableros de fibra de madera con masa volumica superior a 0,5","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-0.77497","3531","Decreció mucho / Decreció mucho","-5661351.49727","0.00000","0.00000","2.08596","-0.28502","1","1.32567","0.92103","0.30379","Recuperación de posiciones","724","19","0.09455"
"480439","Paper, kraft, <150g/m2, uncoated, nes","Demas papeles y cartones kraft,crudos gramaje sup.a 150 e inf.a 225 g/","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.19996","2136","Creció mucho / Creció","9724926.79235","0.00000","0.00000","0.70981","0.16345","1","0.54955","0.47125","0.33649","Recuperación de posiciones","s.d.","s.d.","0.08658"
"821591","Cutlery, not sets, precious metals","Cucharas, tenedor, cucharones y similares, plateados, dorados o platin","Metales"," XV Metales comunes y sus manufacturas","0.01098","2441","Creció / Se mantuvo","397566.41803","428.89998","0.25806","-0.25163","0.89143","1","0.00324","0.08666","0.32840","Recuperación de posiciones","s.d.","s.d.","0.11706"
"841931","Dryers for agriculture","Secadores, para productos agricolas.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.44835","1701","Decreció / Decreció","-1150734.83607","0.00000","0.00000","1.33728","1.08555","1","1.19804","1.09656","1.00177","Recuperación de posiciones","s.d.","s.d.","0.09239"
"843010","Pile-drivers & pile-extractors","Martinetes y maquinas para arrancar pilotes.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","-0.29915","2916","Creció / Creció","3805759.35246","0.00000","0.00000","-0.42412","0.29362","1","-0.26808","-0.21969","-0.06989","Recuperación de posiciones","s.d.","s.d.","0.08398"
"843510","Presses, crushers for wine, juice, beverage","Maquinas y aparatos para produccion de vini,sidra y similares","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.13795","2248","Creció / Creció","1869490.10109","0.00000","0.00000","0.35975","0.72569","1","0.41076","0.40687","0.46897","Recuperación de posiciones","s.d.","s.d.","0.09239"
"845939","Boring-milling machines for removing metal","Las demas mandrinadoras-fresadoras, excepto de control numerico.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.22790","502","Decreció / Decreció","460050.41257","0.00000","0.00000","-0.13901","1.51309","1","0.32810","0.54739","0.94616","Recuperación de posiciones","s.d.","s.d.","0.14134"
"510111","Greasy shorn wool","Lana esquilada, sucia o lavada en vivo sin cardar ni peinar.","Textiles"," XI Textiles y artículos textiles","-1.24029","4068","Creció mucho / Creció","-38536033.50820","0.00000","0.00000","6.36392","-2.96460","0","3.73779","2.51095","0.26503","Oportunidades cercanas, Objetivos factibles","282","101","0.10050"
"20442","Mutton, bone-in, frozen","Los demas cortes (trozos) de carne de ovinos congelada,sin deshuesar","Agricultura"," I Animales vivos; productos animales","-1.59564","4367","Creció mucho / Creció mucho","11907148.97541","0.00000","0.00000","5.94994","-3.29598","0","3.34620","2.12934","-0.09712","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"283691","Lithium carbonates","Carbonato de litio","Químicos"," VI Productos químicos y aliados","-1.06277","3896","Creció mucho / Creció mucho","-215124714.44535","0.00000","0.00000","5.35051","-3.32008","0","2.97506","1.90021","-0.15457","Oportunidades cercanas, Objetivos factibles","s.d.","s.d.","0.14976"
"200891","Palm hearts, otherwise preserved","Palmitos, preparados o conservados o con alcohol.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-2.14551","4589","Decreció / Decreció","671739.28415","0.00000","0.00000","4.77661","-3.17479","0","2.49412","1.40433","-0.53205","Oportunidades cercanas, Objetivos factibles","21","6","0.26995"
"120100","Soya beans","Habas de soja, incluso quebrantadas.","Agricultura"," II Productos vegetales","-0.79792","3556","Creció mucho / Decreció mucho","-1903924637.76503","419571.26652","0.28884","4.20344","-1.96801","0","2.46901","1.66031","0.17595","Oportunidades cercanas, Objetivos factibles","26","7","0.11081"
"20621","Bovine tongue, frozen","Lenguas de bovinos, congeladas.","Agricultura"," I Animales vivos; productos animales","-0.57572","3284","Decreció / Decreció","-19122584.75683","1.51183","0.00019","3.71588","-1.38511","0","2.26652","1.58231","0.34754","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"20220","Bone-in beef, frozen","Carne de bovinos en trozos sin deshuesar, congelada.","Agricultura"," I Animales vivos; productos animales","-0.80983","3573","Creció mucho / Creció","-8006668.50820","1.34298","0.00003","3.58170","-1.12194","0","2.20182","1.52749","0.36718","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"470500","Semi-chemical wood pulp","Pasta semiquimica de madera.","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.28290","1976","Creció mucho / Creció","14130367.60929","0.00000","0.00000","3.30362","-1.66073","0","2.00868","1.45839","0.31448","Oportunidades cercanas, Objetivos factibles","s.d.","s.d.","0.08658"
"230400","Soya-bean oil-cake","Tortas y demas residuos solidos de la extraccion del aceite de soya, i","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.87988","3672","Decreció mucho / Decreció mucho","-8163499898.48361","0.00000","0.00000","2.94776","-1.22810","0","1.72982","1.13827","0.11171","Oportunidades cercanas","s.d.","s.d.","0.15062"
"20230","Boneless beef, frozen","Carne de bovinos deshuesada, congelada.","Agricultura"," I Animales vivos; productos animales","-0.75949","3505","Creció mucho / Creció mucho","-1015280903.01913","61.40950","0.00011","3.19203","-1.57652","0","1.84317","1.20959","0.05830","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"120929","Seed, forage plants, nes","Semillas de forrajeras","Agricultura"," II Productos vegetales","-0.95907","3767","Creció / Decreció","-3807421.63661","12631.64046","0.86455","3.05485","-0.40304","1","1.96188","1.38759","0.49532","Oportunidades cercanas, Objetivos factibles, Recuperación de posiciones, Trayectoria productiva","26","7","0.11081"
"440723","Lumber, baboen, mahogany, etc","Madera aserradas o desbastada longitudinalmente de baboen, caoba, etc","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-1.14704","3982","Creció / Creció","1892127.57104","0.00000","0.00000","3.00995","-0.97001","0","1.79826","1.18357","0.17972","Oportunidades cercanas, Objetivos factibles","5556","325","0.04618"
"20130","Boneless beef","Carne de bovinos deshuesada, fresca o refrigerada.","Agricultura"," I Animales vivos; productos animales","-0.23232","2819","Creció mucho / Creció mucho","-527404279.37432","65.00873","0.00016","2.89824","-0.67867","0","1.86980","1.37790","0.50599","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"410429","Bovine leather, tanned","Los demas cueros y pieles, de bovino y de equino, curtido o recurtidos","Agricultura"," VIII Pieles, cueros, peletería. Sillería y arnés. Artículos de viaje. Artículos de tripa animal","-1.56788","4346","Decreció mucho / Decreció mucho","-29626780.91530","0.00000","0.00000","3.06545","-1.36907","0","1.71521","1.03015","-0.08842","Oportunidades cercanas","s.d.","s.d.","0.06157"
"20622","Bovine livers, frozen","Higados de bovinos, congelados.","Agricultura"," I Animales vivos; productos animales","-0.66166","3399","Decreció / Decreció","-31033072.50546","3.83016","0.00059","2.79385","-0.89105","0","1.71132","1.18152","0.27177","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"120720","Cotton seeds","Semilla de algodon, incluso quebrantada.","Agricultura"," II Productos vegetales","-1.90193","4516","Decreció / Decreció","-717974.39891","3669.39490","0.54346","3.31007","-1.98110","0","1.73063","0.94488","-0.37396","Oportunidades cercanas, Trayectoria productiva","26","7","0.11081"
"170111","Raw sugar, cane","Azucar de cana en bruto sin aromatizar ni colorear, en estado solido.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-2.05552","4567","Decreció mucho / Decreció mucho","36367816.72131","0.00000","0.00000","3.41166","-2.03687","0","1.77524","0.95609","-0.40697","Oportunidades cercanas","s.d.","s.d.","0.06046"
"160250","Bovine meat, not livers, preserved","Preparaciones y conservas, de la especie bovina.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","-0.47598","3156","Decreció / Decreció","-67674140.69945","0.00000","0.00000","2.75486","-0.45936","0","1.78893","1.30514","0.50075","Oportunidades cercanas, Objetivos factibles","596","19","0.09596"
"261790","Ores and concentrates, nes","Los demas minerales y sus concentrados","Minerales"," V Productos minerales","-2.15744","4593","Decreció / Decreció","1160780.38251","0.00000","0.00000","3.55365","-2.32916","0","1.80598","0.94073","-0.52139","Oportunidades cercanas","0","0","0.08678"
"71339","Beans nes, dried","Las demas alubias, secas desvainadas","Agricultura"," II Productos vegetales","-2.20742","4608","Creció / Se mantuvo","-2840051.92350","2.41294","0.00016","3.39628","-1.61539","0","1.83357","1.02262","-0.25990","Oportunidades cercanas","26","7","0.11081"
"440410","Pointed coniferous poles","Flejes, rodrigones, de coniferas.","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-0.27274","2871","Creció / Creció","1060904.85519","0.00000","0.00000","2.53790","-0.45999","0","1.65726","1.22630","0.48619","Objetivos factibles","232","47","0.11790"
"440121","Wood chips, coniferous","Madera plaquita o particula de coniferas","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-0.06837","2549","Creció / Creció","5958810.50820","8.82911","0.00039","2.39312","-0.25793","0","1.61676","1.23806","0.58477","Objetivos factibles","5556","325","0.04618"
"440310","Treated poles","Maderas en bruto tratadas con pintura, creosota u otros agentes de con","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","-0.20115","2771","Se mantuvo / Decreció","2877784.88251","45.01042","0.00416","2.19270","-0.04849","0","1.50508","1.15363","0.58570","Objetivos factibles","5556","325","0.04618"
"40410","Whey","Lactosuero, incluso concentrado, azucarado o edulcorado de otro modo.","Agricultura"," I Animales vivos; productos animales","0.63122","1394","Decreció mucho / Decreció mucho","-43850583.90164","0.00000","0.00000","1.72686","1.01499","0","1.47492","1.32976","1.13261","Objetivos factibles, Apuestas ambiciosas","210","13","0.14511"
"843390","Parts of agricultural machinery","Partes de maquinas, aparatos y artefactos p. cosechar o trillar; corta","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.78924","1129","Creció / Decreció","23111228.88798","0.00000","0.00000","1.27182","1.28936","0","1.22707","1.17969","1.15907","Objetivos factibles, Apuestas ambiciosas","86","15","0.08734"
"843290","Parts for cultivation machinery","Repuestos para maquinaria agricola (incluye discos agricolas para arad","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.85696","1010","Creció mucho / Creció","6930837.04372","0.00000","0.00000","1.18309","1.60298","0","1.23445","1.22284","1.29051","Objetivos factibles, Apuestas ambiciosas","86","15","0.08734"
"843680","Germination, bee-keeping plant","Las demas maquinas y aparatos para la agricultura, horticultura, silvi","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.21065","533","Creció mucho / Creció mucho","16345151.11475","1750.96269","0.02372","0.88738","1.28412","0","0.99905","1.05122","1.14673","Apuestas ambiciosas","86","15","0.08734"
"843280","Rollers, soil prep, cultivation machinery","Las demas maquinas, aparatos y artefactos agricolas, horticolas o silv","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.90057","951","Creció / Creció","6066208.61749","0.00000","0.00000","0.87231","1.76743","0","1.05416","1.10174","1.28218","Apuestas ambiciosas","86","15","0.08734"
"330530","Lacquers, hair","Lacas para el cabello","Químicos"," VI Productos químicos y aliados","0.85155","1020","Decreció / Decreció","3768487.69945","0.00000","0.00000","0.80870","1.78305","0","1.00785","1.06086","1.25787","Apuestas ambiciosas","98","6","0.34836"
"841920","Medical sterilizers","Esterilizadores medico-quirurgicos o de laboratorio.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.19303","552","Creció / Se mantuvo","6320864.72951","0.00000","0.00000","0.69661","1.67029","0","0.94099","1.03931","1.25887","Apuestas ambiciosas","s.d.","s.d.","0.19696"
"842121","Water filtering machines","Aparatos para filtrar o depurar liquidos","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.01568","783","Creció mucho / Creció mucho","38921357.82787","1.30613","0.00001","0.47657","1.72515","0","0.78020","0.89654","1.17321","Apuestas ambiciosas","125","6","0.18814"
"841990","Industrial heating/cooling, parts","Los demas aparatos y dispositivos para licuefaccion de aire o gases","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.03049","763","Decreció mucho / Decreció mucho","34191386.57924","53.21335","0.00034","0.39758","1.77481","0","0.73631","0.86847","1.17556","Apuestas ambiciosas","125","6","0.18814"
"390940","Phenolic resins","Resinas fenolica (adhesivos)","Químicos"," VII Plásticos, caucho, y sus manufacturas","1.06269","706","Creció / Decreció","7511496.13388","8.16090","0.00017","0.26616","1.84799","0","0.66218","0.82092","1.17712","Apuestas ambiciosas","s.d.","s.d.","0.12871"
"732690","Articles of iron/steel, nes","Las demas manufacturas de hierro o acero","Metales"," XV Metales comunes y sus manufacturas","0.79542","1120","Creció mucho / Creció mucho","185759811.15027","6933.90739","0.00675","0.26117","1.92409","0","0.64718","0.78375","1.14305","Apuestas ambiciosas","140","32","0.11287"
"841950","Heat exchange units, non-domestic","Intercambiadores de calor.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.38943","323","Creció mucho / Decreció","55613626.00546","612.83300","0.00238","0.10043","1.81515","0","0.57227","0.78691","1.19430","Apuestas ambiciosas","125","6","0.18814"
"731590","Chain parts, iron, except link","Las demas partes de cadena, de fundicion, de hierro o de acero.","Metales"," XV Metales comunes y sus manufacturas","0.62915","1399","Decreció / Decreció","1614778.61202","1.97853","0.00031","0.00560","2.21850","0","0.51053","0.68353","1.15729","Apuestas ambiciosas","140","32","0.11287"
"841391","Liquid pump, parts","Bombas centrifugas, partes y piezas para","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.25285","473","Decreció / Decreció mucho","57650938.12295","121.56507","0.00032","-0.02264","1.99730","0","0.50890","0.73744","1.20521","Apuestas ambiciosas","s.d.","s.d.","0.11700"
"845921","Metal working drill machines, num controlled","Las demas maquinas de taladrar, de control numerico.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.14110","607","Decreció / Decreció","1825575.96995","0.00000","0.00000","-0.10555","2.05379","0","0.45098","0.68361","1.17781","Apuestas ambiciosas","s.d.","s.d.","0.14134"
"741529","Copper cotters","Los demas articulos sin roscar, de cobre, (incluye: pernos, tornillos,","Metales"," XV Metales comunes y sus manufacturas","1.49983","239","Creció / Decreció","1175943.04098","0.00000","0.00000","-0.12398","1.83225","0","0.42964","0.68984","1.16227","Apuestas ambiciosas","140","32","0.11287"
"848180","Taps, cocks, valves, appliances, nes","Los demas articulos de griferia y organos similares.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.20766","535","Creció mucho / Decreció mucho","263517063.02186","813.72016","0.00063","-0.23134","2.12007","0","0.38284","0.64431","1.18654","Apuestas ambiciosas","s.d.","s.d.","0.11700"
"843311","Lawn mowers, powered, horizontal cutting device","Cortadoras de cesped, con motor, en las que el dispositivo de corte gi","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.46389","267","Creció mucho / Creció mucho","31565407.58743","0.01757","0.00000","-0.29704","2.06529","0","0.35152","0.64573","1.20624","Apuestas ambiciosas","86","15","0.08734"
"731819","Threaded articles, iron, nes","Los demas articulos roscados, de fundicion, de hierro o de acero.","Metales"," XV Metales comunes y sus manufacturas","1.11081","645","Creció mucho / Creció","17160054.09290","22.65629","0.00034","-0.35190","2.16998","0","0.29874","0.57111","1.14862","Apuestas ambiciosas","140","32","0.11287"
"842720","Self-propelled works trucks, non-electric","Las demas carretillas autopropulsadas.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","1.58658","174","Creció mucho / Creció mucho","70080635.79508","18486.52445","0.07797","-0.52585","2.07703","0","0.20597","0.54735","1.17355","Apuestas ambiciosas","s.d.","s.d.","0.11901"
"10111","Horses, pure-bred","Caballos reproductores de raza pura.","Agricultura"," I Animales vivos; productos animales","-0.13143","2648","Creció / Se mantuvo","4238686.86612","56.95829","0.00138","0.51887","-0.56626","0","0.23681","0.11753","-0.13201","","282","101","0.10050"
"10119","Horses, not pure-bred","Los demas caballos vivos.","Agricultura"," I Animales vivos; productos animales","0.25748","2016","Creció mucho / Creció mucho","-10367234.86339","121.40493","0.00365","0.51312","0.52685","0","0.49031","0.46543","0.45539","","282","101","0.10050"
"10120","Other equine","Asnos, mulos y burdeganos, vivos.","Agricultura"," I Animales vivos; productos animales","-0.60676","3328","Decreció / Decreció","24348.88798","0.00000","0.00000","0.13491","-0.75258","0","-0.11676","-0.23530","-0.44988","","282","101","0.10050"
"10210","Bovine, pure-bred","Bovinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","-0.15285","2685","Decreció / Decreció","7674551.44536","3.00853","0.00010","1.44986","0.11484","0","1.02258","0.79556","0.44842","","282","101","0.10050"
"10290","Bovine, not pure-bred","Los demas bovinos vivos.","Agricultura"," I Animales vivos; productos animales","-0.46784","3145","Creció / Decreció","54545867.79508","0.00000","0.00000","1.90488","-0.29894","0","1.22684","0.87938","0.31998","","282","101","0.10050"
"10310","Swine, pure-bred","Porcinos reproductores de raza pura, vivos.","Agricultura"," I Animales vivos; productos animales","0.42874","1735","Creció / Creció","1694539.52732","0.00000","0.00000","-0.28822","-0.55634","0","-0.27015","-0.21186","-0.22963","","28","5","0.09681"
"10391","Swine < 50 kg, not pure-bred","Los demas porcinos de peso inferior a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.93345","901","Creció / Creció","13490671.86885","0.00000","0.00000","-0.04563","-1.58947","0","-0.25649","-0.23577","-0.49559","","28","5","0.09681"
"10392","Swine > 50 kg, not pure-bred","Los demas porcinos de peso superior o igual a 50 kg., vivos.","Agricultura"," I Animales vivos; productos animales","0.44484","1705","Decreció mucho / Decreció mucho","14286729.15847","0.51860","0.00001","0.24793","0.99151","0","0.41634","0.47321","0.63177","","28","5","0.09681"
"10410","Sheep","Ovinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.08322","3923","Decreció / Decreció","10019052.89344","0.04068","0.00000","0.84357","-1.21831","0","0.23852","-0.05726","-0.56597","","282","101","0.10050"
"10420","Goats","Caprinos vivos.","Agricultura"," I Animales vivos; productos animales","-1.52979","4317","Decreció / Decreció","912501.08470","0.00000","0.00000","1.85132","-1.58471","0","0.82600","0.31609","-0.54017","","282","101","0.10050"
"10511","Domestic fowls < 185 g","Pollitos del genero gallus domesticus de peso inferior o igual a 185 g","Agricultura"," I Animales vivos; productos animales","-0.35794","2998","Creció / Creció","8834199.56011","5.79890","0.00017","1.29797","0.35892","0","0.94457","0.73203","0.46142","","28","5","0.09681"
