"codigo_hs","product_name_en","nombre_producto_es","seccion_atlas","seccion_2_digitos","indice_de_complejidad_de_producto_icp","ranking_de_complejidad_producto","tendencia_mercado","potencial_exportador","fob_corrientes","vcr_corrientes","compatibilidad_con_corrientes","valor_estrategico_para_corrientes","indice_recuperacion_de_posiciones_corrientes","indice_oportunidades_cercanas_corrientes","indice_objetivos_factibles_corrientes","indice_apuestas_ambiciosas_corrientes","top_20_criterios_corrientes","empleo","empresas","tasa_fem"
"843230","Seeders, planters","Sembradoras, plantadoras y transplantadoras.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.60280","1445","Creció / Decreció","2665326.73770","0.00000","0.00000","0.68905","1.06059","0","0.75473","0.80615","0.83468","","s.d.","s.d.","0.08734"
"480452","Paper, kraft, >225g/m2,chemical pulp,bleach/uncoat","Los demas papel y carton kraft, blanqueados, gramaje igual o sup. 225","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.54884","1542","Creció / Creció","1698856.54372","0.00000","0.00000","0.64696","-1.53497","0","0.20076","-0.13143","-0.35944","","s.d.","s.d.","0.08658"
"120923","Seed, fescue","Semillas de festucas","Agricultura"," II Productos vegetales","0.52690","1580","Creció / Creció","305000.79781","890.83980","0.41747","1.37390","-0.77842","0","0.85874","0.49354","0.19361","","1355","105","0.11081"
"930590","Parts/accessories of weapons, nes","Las demas partes y accesorios de los articulos pda. 93.01. a 93.04.","Maquinaria"," XIX Armas y municiones, partes y accesorios","0.52456","1586","Creció mucho / Creció","7017036.51913","0.00000","0.00000","0.60616","0.27888","0","0.53255","0.47937","0.43849","","0","0","0.11298"
"160242","Swine shoulders, preserved","Paletas y trozos de paleta, de porcinos.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.49350","1643","Creció / Creció","2089310.99180","0.00000","0.00000","0.52031","0.53384","0","0.52034","0.52103","0.51970","","154","15","0.09596"
"282739","Chlorides of metals, nes","Los demas cloruros.","Químicos"," VI Productos químicos y aliados","0.45819","1683","Creció / Creció","-21195934.94809","0.00000","0.00000","0.54036","1.21091","0","0.66626","0.76273","0.82157","","s.d.","s.d.","0.14976"
"841931","Dryers for agriculture","Secadores, para productos agricolas.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.44835","1701","Decreció / Decreció","-1150734.83607","0.00000","0.00000","0.64476","1.06497","0","0.70916","0.76237","0.78475","","s.d.","s.d.","0.09239"
"843420","Dairy machinery","Maquinas y aparatos para la industria lechera.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.43460","1726","Decreció / Decreció","2585866.36339","53.64583","0.00710","0.51853","1.06082","0","0.61859","0.69574","0.74158","","s.d.","s.d.","0.09239"
"170260","Fructose, syrup >50% fructose, not pure","Las demas fructosas y jarabe de fructosa, con contenido fructosa s, en","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.41170","1758","Decreció / Decreció","1572920.39617","0.00000","0.00000","1.52429","-2.06533","0","0.69511","0.10103","-0.36919","","s.d.","s.d.","0.13127"
"20630","Swine offal","Despojos comestibles de porcinos, frescos o refrigerados.","Agricultura"," I Animales vivos; productos animales","1.56506","188","Creció / Creció","3180403.67486","0.00000","0.00000","-0.51681","1.43408","0","0.08155","0.47828","0.88156","","154","15","0.09596"
"20641","Swine livers, frozen","Higados de porcinos, congelados.","Agricultura"," I Animales vivos; productos animales","0.47571","1662","Se mantuvo / Se mantuvo","214974.15301","0.00000","0.00000","0.17244","-0.02518","0","0.16324","0.14876","0.15933","","154","15","0.09596"
"20649","Swine offal, frozen","Los demas despojos comestibles de la especie porcina, congelados","Agricultura"," I Animales vivos; productos animales","0.89747","959","Creció mucho / Creció","20981319.89891","0.00000","0.00000","0.01044","0.96385","0","0.28982","0.47719","0.66123","","154","15","0.09596"
"843359","Harvesting machinery, nes","Las demas maquinas y aparatos para la recoleccion.","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.40898","1762","Creció / Creció","381463.16940","0.00000","0.00000","0.79609","0.57432","0","0.71303","0.66041","0.59952","","s.d.","s.d.","0.08734"
"160231","Turkey meat, preserved","Preparaciones y conservas, de pavo.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.40449","1770","Decreció mucho / Decreció","4100593.70765","0.00000","0.00000","0.52562","1.04848","0","0.61808","0.69045","0.73062","","154","15","0.09596"
"20710","Whole poultry","Aves de corral enteras","Agricultura"," I Animales vivos; productos animales","0.20397","2128","Creció / Decreció","8657779.37432","0.00000","0.00000","0.15441","0.94426","0","0.31733","0.43829","0.52223","","154","15","0.09596"
"930529","Parts/accessories of shotguns/rifles","Las demas partes y accesorios de escopetas o rifles de caza de pda.93.","Maquinaria"," XIX Armas y municiones, partes y accesorios","0.38889","1798","Creció / Creció","2980392.29781","0.00000","0.00000","0.53884","0.84825","0","0.58572","0.62464","0.64059","","0","0","0.11298"
"350290","Albumins, nes","Las demas albuminas, albuminatos y demas derivados de las albuminas.","Químicos"," VI Productos químicos y aliados","0.38662","1803","Creció / Creció","-9548201.54645","0.00000","0.00000","1.08603","-0.05926","0","0.78703","0.58027","0.39580","","53","7","0.26468"
"20723","Whole duck, frozen","Pato entero, congelado","Agricultura"," I Animales vivos; productos animales","0.89005","967","Decreció / Decreció","1671738.96175","0.00000","0.00000","-0.33197","0.84334","0","0.02529","0.26269","0.50242","","154","15","0.09596"
"20731","Fatty livers of geese, ducks","Hígados grasos de gansos, patos","Agricultura"," I Animales vivos; productos animales","0.32551","1910","Decreció / Decreció","421870.10109","0.00000","0.00000","-0.02926","-2.49590","0","-0.48711","-0.83937","-1.05056","","154","15","0.09596"
"20739","Other poultry meat","Otra carne de aves de corral","Agricultura"," I Animales vivos; productos animales","0.81238","1086","Creció mucho / Creció","46578957.70492","0.00000","0.00000","-0.00207","1.41858","0","0.36350","0.61732","0.84083","","154","15","0.09596"
"870210","Diesel powered buses","Vehiculos automoviles para el transporte de personas con motor de embo","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.37145","1826","Creció mucho / Creció mucho","-70132890.15027","388.10864","0.00232","0.59178","0.82931","0","0.61725","0.64186","0.64358","","s.d.","s.d.","0.09613"
"200410","Potatoes, prepared, frozen","Patatas (papas), preparadas o conservadas, excepto vinagre o acido ace","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.37120","1827","Creció mucho / Creció mucho","-128231393.27869","94.11982","0.00147","1.14353","-0.78043","0","0.68150","0.35429","0.08466","","855","16","0.26995"
"20743","Duck meat, frozen","Carne de pato, congelada","Agricultura"," I Animales vivos; productos animales","0.60687","1441","Se mantuvo / Decreció","3893116.51366","0.00000","0.00000","-0.80376","-1.38221","0","-0.77839","-0.79462","-0.71140","","154","15","0.09596"
"20810","Rabbit meat and offal","Carne de conejo o liebre refrigerada o congelada","Agricultura"," I Animales vivos; productos animales","0.41312","1757","Decreció / Decreció","-4273833.32787","0.00000","0.00000","0.06371","0.79056","0","0.24402","0.37052","0.47814","","154","15","0.09596"
"300120","Gland extracts, therapeutic","Extractos de glandulas o de otros organos o de sus secreciones.","Químicos"," VI Productos químicos y aliados","0.36422","1837","Creció / Creció","410025.81967","0.00000","0.00000","0.87114","-0.12369","0","0.62148","0.44691","0.29674","","141","25","0.34344"
"20900","Pig and poultry fat","Tocino sin partes magras y grasa sin fundir de cerdo o de ave, frescos","Agricultura"," I Animales vivos; productos animales","0.58726","1464","Creció / Creció","3055075.88525","0.00000","0.00000","0.25592","1.21299","0","0.48047","0.64059","0.76944","","154","15","0.09596"
"21011","Cured pork shoulders and ham","Jamones, paletas y sus trozos sin deshuesar, salados o en salmuera, se","Agricultura"," I Animales vivos; productos animales","0.19295","2157","Creció / Se mantuvo","2329832.84153","0.00000","0.00000","0.23916","0.48775","0","0.28426","0.31924","0.33947","","154","15","0.09596"
"21012","Cured swine bellies","Panceta y sus trozos, salados o en salmuera, secos o ahumados.","Agricultura"," I Animales vivos; productos animales","1.11451","641","Creció / Creció","4448351.76776","0.00000","0.00000","-0.43952","1.18536","0","0.04086","0.36229","0.68018","","154","15","0.09596"
"21019","Cured pork","Las demas carnes de porcinos saladas o en salmuera, secas o ahumadas.","Agricultura"," I Animales vivos; productos animales","0.84159","1043","Decreció / Decreció","17653033.74317","0.00000","0.00000","-0.56671","0.47979","0","-0.21658","0.01081","0.25629","","154","15","0.09596"
"900719","Cinematographic cameras for film >16mm wide","Las demas camaras, incluso con grabadores o reproductores de sonido.","Maquinaria"," XVIII Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios","0.35543","1852","Decreció / Decreció","537399.52186","0.00000","0.00000","0.59780","0.29844","0","0.51369","0.45667","0.40249","","s.d.","s.d.","0.30176"
"370690","Cinematographic film, width <35mm","Las demas peliculas cinematograficas, impresionadas y reveladas, con r","Químicos"," VI Productos químicos y aliados","0.34165","1877","Decreció / Se mantuvo","15924.15574","0.00000","0.00000","0.58401","-0.12299","0","0.41837","0.30021","0.20527","","s.d.","s.d.","0.39395"
"30191","Live trout","Truchas, vivas.","Agricultura"," I Animales vivos; productos animales","-0.22819","2808","Creció / Creció","882861.87432","0.00000","0.00000","0.30603","-0.24644","0","0.14211","0.03253","-0.07614","","s.d.","s.d.","0.09197"
"30192","Live eels","Anguilas vivas.","Agricultura"," I Animales vivos; productos animales","-0.76848","3520","Creció mucho / Creció","3887181.19672","0.00000","0.00000","-0.11956","-0.76307","0","-0.31315","-0.44213","-0.57137","","s.d.","s.d.","0.09197"
"30193","Live carp","Carpas vivas.","Agricultura"," I Animales vivos; productos animales","0.21223","2118","Decreció / Decreció","1213960.52732","0.00000","0.00000","-0.65003","-0.78854","0","-0.59150","-0.56917","-0.49679","","s.d.","s.d.","0.09197"
"190120","Mixes/doughs for bread, pastry","Mezclas y pastas para la preparacion de productos de panaderia, pastel","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.33806","1885","Creció mucho / Creció","7881292.84699","0.53140","0.00001","0.92074","0.66964","0","0.81226","0.74546","0.66208","","612","20","0.12697"
"30310","Pacific salmon, frozen","Salmones del pacifico congelado, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","0.32706","1907","Creció mucho / Creció mucho","14178271.33333","0.00000","0.00000","0.83580","-2.71955","0","0.07385","-0.48489","-0.89129","","s.d.","s.d.","0.32462"
"30212","Salmon","Salmones del pacifico, atlantico y danubio, fresco o refrigerado.","Agricultura"," I Animales vivos; productos animales","0.77249","1156","Creció mucho / Creció mucho","100694279.09290","0.00000","0.00000","0.17414","-1.39466","0","-0.07978","-0.28518","-0.38223","","s.d.","s.d.","0.09197"
"20423","Mutton, boneless","Las demas carnes de ovinos, deshuesadas, frescas o refrigeradas.","Agricultura"," I Animales vivos; productos animales","0.32535","1911","Creció / Se mantuvo","3357989.32240","0.00000","0.00000","0.91113","-2.95739","0","0.07885","-0.53072","-0.97615","","154","15","0.09596"
"30221","Halibut","Halibut fresco o refrigerads excluidos filetes, higados, huevas.","Agricultura"," I Animales vivos; productos animales","1.22749","503","Creció / Creció","1302024.09290","0.00000","0.00000","-0.47797","-1.55458","0","-0.52275","-0.59896","-0.53608","","s.d.","s.d.","0.09197"
"30222","Pollock","Sollas frescas o refrigeradas, excluidos filete, higados, huevas y lec","Agricultura"," I Animales vivos; productos animales","0.96612","862","Se mantuvo / Se mantuvo","465088.20219","0.00000","0.00000","-1.04284","-0.70126","0","-0.77363","-0.62194","-0.38689","","s.d.","s.d.","0.09197"
"380840","Disinfectants","Desinfectantes.","Químicos"," VI Productos químicos y aliados","0.32533","1912","Creció mucho / Creció mucho","-10526249.97541","261.26528","0.01134","0.87747","0.55687","0","0.75813","0.68244","0.59516","","s.d.","s.d.","0.19452"
"220600","Fermented ciders","Las demas bebidas fermentadas (por ejemplo: sidra, perada o aguamiel).","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.30703","1933","Creció / Decreció","963267.64754","0.00000","0.00000","0.62288","0.52566","0","0.57185","0.54148","0.50017","","s.d.","s.d.","0.21105"
"930630","Cartridges nes","Los demas cartuchos y sus partes.","Maquinaria"," XIX Armas y municiones, partes y accesorios","0.29355","1961","Creció / Decreció","10426032.60109","0.00000","0.00000","0.50133","0.11458","0","0.40320","0.33480","0.27535","","0","0","0.11298"
"180632","Chocolate, not filled, >2k","Los demas chocolates, en bloques, en tabletas o en barras sin rellenar","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.28746","1970","Creció mucho / Creció","21588445.87432","0.10174","0.00000","0.53924","0.69582","0","0.54538","0.55628","0.54676","","s.d.","s.d.","0.28699"
"470500","Semi-chemical wood pulp","Pasta semiquimica de madera.","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.28290","1976","Creció mucho / Creció","14130367.60929","0.00000","0.00000","0.64956","-1.64640","0","0.15370","-0.20902","-0.47528","","s.d.","s.d.","0.08658"
"230910","Dog or cat food","Alimentos para perros o gatos, acondicionados para la venta al por men","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.27801","1981","Creció mucho / Creció mucho","-4304550.83333","0.00000","0.00000","0.71039","0.85457","0","0.69599","0.69600","0.66718","","59","7","0.15719"
"30240","Herring","Arenques frescos o refrigerados, excludos filetes, higados, huevas y l","Agricultura"," I Animales vivos; productos animales","0.15246","2226","Decreció / Decreció","864529.68033","0.00000","0.00000","0.26761","-0.45449","0","0.11168","-0.00240","-0.08612","","s.d.","s.d.","0.09197"
"30250","Cod","Bacalaos frescos o refrigerados, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","0.04927","2383","Creció / Creció","4450459.12295","0.00000","0.00000","-0.18401","-1.30100","0","-0.38408","-0.53997","-0.62834","","s.d.","s.d.","0.09197"
"350210","Egg albumin","Albúmina de huevo","Químicos"," VI Productos químicos y aliados","0.26048","2006","Decreció / Decreció","-2249207.37705","0.00000","0.00000","0.50367","0.65459","0","0.50953","0.52001","0.51078","","1619","17","0.23891"
"30262","Haddock","Eglefinos frescos o refrigerados, excluidos filetes, higados, huevas y","Agricultura"," I Animales vivos; productos animales","1.13484","617","Decreció / Decreció","688277.13661","0.00000","0.00000","-0.61872","-2.48469","0","-0.81656","-1.00878","-1.02002","","s.d.","s.d.","0.09197"
"30263","Coalfish","Carboneros frescos o refrigerados, excluidos filetes, higados, huevas","Agricultura"," I Animales vivos; productos animales","1.30790","408","Creció / Creció","650356.42350","0.00000","0.00000","-1.12006","-1.75103","0","-1.00346","-0.97671","-0.79701","","s.d.","s.d.","0.09197"
"900630","Special use cameras: underwater, aerial","Aparatos especiales para fotografia submarina o aerea, para examen med","Maquinaria"," XVIII Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios","0.25402","2023","Decreció / Decreció","1247205.50546","0.00000","0.00000","0.53421","-0.85890","0","0.22757","0.00460","-0.16274","","s.d.","s.d.","0.30176"
"730620","Casings, circular, iron/steel, oil drilling <406mm","Tubos de entubado o de produccion del tipo d elos utilizados para la e","Metales"," XV Metales comunes y sus manufacturas","0.25302","2025","Decreció mucho / Decreció mucho","7831380.62022","0.00000","0.00000","0.85464","-0.86957","0","0.44963","0.16092","-0.07166","","s.d.","s.d.","0.07857"
"30266","Eels","Anguilas(anguilla spp)frescos o refrigerados, excepto higados, huevas","Agricultura"," I Animales vivos; productos animales","0.39570","1789","Se mantuvo / Se mantuvo","91004.06831","0.00000","0.00000","-0.35135","0.74477","0","-0.05742","0.14435","0.32867","","s.d.","s.d.","0.09197"
"481139","Paper, coat, with plastic","Papel y carton recubierto, impregnado o revestido de plastico (con exc","Agricultura"," X Pasta de madera u otras materias fibrosas celulosicas. Papel y carbón, y sus recuperados y manufacturas","0.24841","2035","Decreció / Decreció mucho","-23446285.01093","26.00000","0.00038","0.62146","0.89822","0","0.63951","0.66237","0.65274","","s.d.","s.d.","0.08658"
"320649","Inorganic coloring, nes","Las demas materias colorantes y las demas preparaciones","Químicos"," VI Productos químicos y aliados","0.24749","2036","Creció mucho / Creció","13698006.55738","6.59899","0.00020","0.71528","1.05805","0","0.73706","0.76508","0.75258","","s.d.","s.d.","0.14976"
"441119","Worked fibreboard, >0.8g/mc2","Tableros de fibra de madera con masa volumica superior a 0,8 g/cm3, co","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","0.24525","2038","Creció mucho / Creció mucho","33623365.80601","64909.95095","0.66176","0.56265","0.63659","0","0.54570","0.54092","0.51657","","547","4","0.09455"
"880190","Balloons, non-powered aircraft","Globos y dirigibles y demas aparatos de navegacion aerea, sin motor.","Vehículos"," XVII Vehículos, aviones, buques y equipos de transporte asociados","0.24284","2042","Se mantuvo / Se mantuvo","241351.39344","0.00000","0.00000","0.53840","0.28033","0","0.45723","0.40374","0.34838","","s.d.","s.d.","0.15363"
"30322","Atlantic salmon, frozen","Salmones del atlantico y del danubio congelados, excluido filete, higa","Agricultura"," I Animales vivos; productos animales","0.15320","2224","Creció / Decreció","6348978.96175","0.00000","0.00000","0.39512","-1.53512","0","-0.01512","-0.31675","-0.53397","","s.d.","s.d.","0.32462"
"290129","Unsaturated acyclic hydrocarbons, nes","Los demas hidrocarburos aciclicos no saturados.","Químicos"," VI Productos químicos y aliados","0.24172","2045","Decreció / Decreció","14318710.81967","83.24930","0.00342","0.82191","-0.96181","0","0.40715","0.11058","-0.12581","","s.d.","s.d.","0.14976"
"30331","Halibut, frozen","Halibut congelado, excluido filetes, higados, huevas y lechas","Agricultura"," I Animales vivos; productos animales","0.33173","1898","Creció / Se mantuvo","3754923.06284","0.00000","0.00000","-0.40670","-1.24218","0","-0.49995","-0.58835","-0.59806","","s.d.","s.d.","0.32462"
"30332","Plaice, frozen","Sollas congeladas, excluido filetes, higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","-0.55287","3260","Creció / Se mantuvo","251439.30055","0.00000","0.00000","-0.05040","-0.81059","0","-0.25269","-0.39184","-0.51811","","s.d.","s.d.","0.32462"
"401091","Rubber conveyor belts, <20cm","Cintas transportadoras de goma, <20 cm","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.23463","2060","Decreció mucho / Decreció mucho","-2353278.90984","0.00000","0.00000","0.51124","1.08490","0","0.59831","0.67053","0.70023","","s.d.","s.d.","0.16001"
"40500","Butter, milk fats & oils","Mantequilla, grasas y aceites de leche","Agricultura"," I Animales vivos; productos animales","0.23303","2064","Creció mucho / Creció mucho","22416237.85792","0.00000","0.00000","0.87250","0.11261","0","0.65658","0.51062","0.37068","","707","21","0.14511"
"30341","Albacore, frozen","Albacoras o atunes blancos congelados excluido filete, higado, huevas","Agricultura"," I Animales vivos; productos animales","-1.05986","3892","Decreció / Decreció","1397363.38798","0.00000","0.00000","0.38422","-0.55611","0","0.05174","-0.16151","-0.39995","","s.d.","s.d.","0.32462"
"761290","Aluminum casks, <300L","Envases monoblock de aluminio para aerosol","Metales"," XV Metales comunes y sus manufacturas","0.23263","2067","Creció mucho / Creció","22371704.55464","5276.66642","0.10359","0.66487","0.75070","0","0.63882","0.63008","0.59544","","54","20","0.11287"
"901890","Instruments for medical science, nes","Los demas instrumentos y aparatos de la medicina, cirugia, odontologia","Maquinaria"," XVIII Óptica, fotografía, cinematografía, medición, e instrumentos médicos. Relojes, instrumentos musicales, sus partes y accesorios","0.23063","2074","Creció mucho / Creció mucho","279503569.72404","1911.03100","0.00327","0.57723","-0.13372","0","0.40038","0.27641","0.17065","","s.d.","s.d.","0.19696"
"350110","Casein","Caseina.","Químicos"," VI Productos químicos y aliados","0.23041","2076","Decreció mucho / Decreció mucho","-12353782.96995","0.00000","0.00000","1.03559","-0.89332","0","0.56929","0.23969","-0.03372","","707","21","0.14511"
"30350","Herring, frozen","Arenques congelados, excluidos filetes higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","0.25631","2019","Se mantuvo / Decreció","3535549.71858","0.00000","0.00000","-0.47595","-0.72395","0","-0.45232","-0.45291","-0.40449","","s.d.","s.d.","0.32462"
"30360","Cod, frozen","Bacalaos congelados, excluidos filetes higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","0.81174","1087","Creció mucho / Creció","9918274.10929","0.00000","0.00000","-0.47715","-0.59021","0","-0.37087","-0.32338","-0.20580","","s.d.","s.d.","0.32462"
"841311","Fuel pumps, filling stations","Bombas distribucion carburante o lubricante tipo usada gasolinera o ga","Maquinaria"," XVI Aparatos mecánicos y eléctricos, sus partes y accesorios","0.22878","2081","Decreció / Decreció","4353744.64754","0.00000","0.00000","0.60629","1.01676","0","0.65064","0.69333","0.69662","","s.d.","s.d.","0.11700"
"30372","Haddock, frozen","Eglefinos congelados, excluidos filetes, higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","0.61385","1429","Creció / Creció","1823170.17486","0.00000","0.00000","-0.69525","-2.24194","0","-0.87368","-1.04023","-1.06398","","s.d.","s.d.","0.32462"
"30373","Pollock, frozen","Carboneros congelados, excluido filetes higados, huevas y lechas.","Agricultura"," I Animales vivos; productos animales","0.71579","1256","Creció / Creció","530473.10383","0.00000","0.00000","-0.72458","-1.40220","0","-0.71607","-0.74569","-0.66942","","s.d.","s.d.","0.32462"
"210130","Chicory, coffee substitutes","Achicoria tostada y demas sucedaneos del cafe tostado y sus extractos,","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.22832","2083","Decreció / Decreció","269862.54645","1318.06722","0.84148","0.79695","0.61812","0","0.70432","0.64906","0.57432","Trayectoria productiva","1619","17","0.23891"
"392310","Plastic boxes","Cajas, jaulas y articulos similares de plastico","Químicos"," VII Plásticos, caucho, y sus manufacturas","0.21170","2119","Creció mucho / Decreció","52295695.01093","12061.67131","0.09896","0.51665","0.88868","0","0.56056","0.60112","0.60783","","28","4","0.12832"
"999999","Commodities not specified, according to kind","Materias no a otra parte especificadas","Otros"," XXI Obras de arte, piezas de coleccionista y antigüedades","0.19956","2140","Creció mucho / Creció mucho","-1786588958.43443","0.00000","0.00000","0.58349","0.29617","0","0.48763","0.42534","0.35822","","","",""
"441010","Wood particle board","Tabla de partículas de madera","Agricultura"," IX Productos de madera, carbón de madera, o corcho. Fabricaciones de paja u otros materiales trenzados","0.19296","2156","Creció mucho / Creció mucho","46564740.72951","11256.44715","0.12039","0.64833","0.73235","0","0.61960","0.60943","0.57229","","547","4","0.09455"
"281830","Aluminium hydroxide","Hidroxido de aluminio.","Químicos"," VI Productos químicos y aliados","0.19030","2160","Creció mucho / Creció","8882023.33060","0.96041","0.00005","0.52752","0.09715","0","0.40772","0.32631","0.24955","","s.d.","s.d.","0.14976"
"230330","Brewing/distilling dregs","Heces y desperdicios de ceverceria y desteleria.","Agricultura"," IV Alimentos preparados, bebidas y tabaco","0.18613","2165","Decreció mucho / Decreció mucho","5517951.74044","0.00000","0.00000","1.14265","-1.19235","0","0.58000","0.18192","-0.14723","","s.d.","s.d.","0.16378"
